,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,show,projectrank_placing,trending,pypi_monthly_downloads,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-07-16 19:14:29,2026-07-16 18:45:18,107572.0,4883.0,28485.0,1800.0,129737.0,18298,44393.0,101788,2026-07-08 17:39:58,2.13.0,305437.0,2588.0,68.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,911299.0,867527.0,6730,49,https://pypi.org/project/torch,,2026-07-08 16:02:16,43772.0,True,1,,,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-07-16 19:13:58,2026-07-16 19:13:57,41569.0,466.0,12563.0,601.0,17931.0,2398,11899.0,32381,2026-07-04 17:30:20,2.5.1,1253468.0,16070.0,194.0,The fundamental package for scientific computing with Python.,3862785.0,3664260.0,2108,46,https://pypi.org/project/numpy,,2026-07-04 17:06:12,198525.0,True,2,,,
2,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-07-16 18:58:25,2026-07-16 18:55:41,37064.0,1883.0,3682.0,329.0,28586.0,2482,5471.0,36006,2026-07-16 18:58:25,0.11.0,,,194.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",55273.0,50377.0,1093,39,https://pypi.org/project/jax,Apache-2.0,2026-07-16 18:58:25,4896.0,True,2,,,
3,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-07-14 13:22:10,2026-07-14 13:22:10,9839.0,97.0,1904.0,203.0,6654.0,1264,4517.0,13861,2026-07-14 01:27:48,2026.1.3,,,238.0,Parallel computing with task scheduling.,83758.0,79986.0,655,38,https://pypi.org/project/dask,BSD-3-Clause,2026-07-14 01:27:48,3772.0,True,2,,,
4,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-07-15 06:14:57,2026-07-13 18:42:46,6464.0,45.0,1273.0,97.0,5387.0,1381,3961.0,4172,2026-07-09 17:36:39,2026.07.0,,,106.0,N-D labeled arrays and datasets in Python.,51302.0,44989.0,618,33,https://pypi.org/project/xarray,Apache-2.0,2026-07-09 17:38:24,6313.0,True,1,-7.0,,
5,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-07-13 20:27:44,2026-07-13 20:27:42,762.0,10.0,138.0,14.0,602.0,74,268.0,666,2026-07-02 07:32:54,0.19.0,4.0,1336245.0,44.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2691.0,2355.0,64,30,https://pypi.org/project/sparse,BSD-3-Clause,2026-07-02 07:32:54,336.0,True,3,7.0,1336245.0,
6,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-05-27 08:28:41,2026-02-07 22:20:28,19095.0,,5638.0,63.0,11825.0,977,15961.0,14217,2025-06-16 00:11:47,1.0.0.5,,,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1485,29,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,True,3,-4.0,,unifyai/ivy
7,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-07-07 12:42:42,2026-07-07 12:42:42,1203.0,26.0,44.0,17.0,302.0,36,112.0,127,2026-06-07 20:53:30,1.15,292.0,2101676.0,23.0,Compatibility layer for common array libraries to support the Array API.,1042.0,838.0,29,28,https://pypi.org/project/array-api-compat,MIT,2026-06-07 20:53:23,204.0,True,1,6.0,2101669.0,
8,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-07-16 12:07:05,2026-07-16 11:43:26,8216.0,82.0,66.0,7.0,1485.0,82,808.0,243,2026-03-26 15:13:38,1.8.0,95.0,862.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,82.0,82.0,69,27,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,True,1,,861.0,
9,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,https://github.com/data-apis/array-api-extra,2024-09-20 07:39:49,2026-07-16 19:06:06,2026-07-16 19:06:04,868.0,152.0,23.0,4.0,736.0,52,75.0,33,2026-06-10 09:56:03,0.11.0,,70063.0,25.0,Extra array functions built on top of the array API standard.,73.0,41.0,23,26,https://pypi.org/project/array-api-extra,MIT,2026-06-10 09:56:03,32.0,True,2,5.0,70063.0,
10,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-07-15 21:48:23,2026-06-13 23:10:45,1153.0,15.0,101.0,15.0,162.0,12,60.0,516,2026-06-13 02:30:29,0.9.0,,1559.0,30.0,A Python Package For System Identification Using NARMAX Models.,34.0,29.0,22,24,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-06-13 02:30:29,5.0,True,3,3.0,1559.0,
11,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,https://github.com/cupy/cupy,2016-11-01 09:54:45,2026-06-01 04:55:30,,,,1035.0,,,678,,10973,2026-06-01 04:55:30,14.1.1,,,151.0,NumPy & SciPy for GPU.,581.0,,380,22,https://pypi.org/project/cupy,MIT,2026-06-01 04:55:30,581.0,True,3,,,
12,scikit-hep/ragged,ragged,utility,ragged,,https://github.com/scikit-hep/ragged,https://github.com/scikit-hep/ragged,2023-12-26 10:53:35,2026-06-29 20:09:24,2026-06-29 20:09:21,82.0,23.0,8.0,2.0,111.0,8,29.0,48,2026-06-03 06:31:24,0.3.0,,18440.0,5.0,Manipulating ragged arrays in an Array API compliant way.,67.0,63.0,5,20,https://pypi.org/project/ragged,BSD-3-Clause,2026-06-03 06:31:24,4.0,True,2,4.0,18440.0,
