,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,show,projectrank_placing,trending,pypi_monthly_downloads,updated_github_id
13,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,https://github.com/Quantco/ndonnx,2024-06-10 11:52:01,2026-07-15 09:07:30,2026-07-01 14:00:17,180.0,12.0,3.0,8.0,189.0,6,31.0,68,2026-06-16 17:03:48,0.20.0,,,28.0,ONNX-backed array library that is compliant with the Array API standard.,38.0,30.0,26,18,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-06-16 17:03:48,8.0,True,3,-3.0,,
14,data-apis/array-api,Array API standard,definition,,,https://github.com/data-apis/array-api,https://github.com/data-apis/array-api,2020-05-10 15:44:24,2026-07-08 23:37:32,2026-07-08 23:34:58,817.0,5.0,54.0,33.0,579.0,93,318.0,273,,,,,,"RFC document, tooling and other content related to the array API standard.",4.0,4.0,38,17,,MIT,,,True,1,,,
15,data-apis/array-api-strict,array-api-strict,core,array-api-strict,,https://github.com/data-apis/array-api-strict,https://github.com/data-apis/array-api-strict,2024-01-22 19:39:03,2026-07-13 21:43:36,2026-07-13 21:43:34,691.0,35.0,13.0,11.0,167.0,11,45.0,33,2026-07-09 10:29:09,2.6,123.0,4.0,16.0,Strict implementation of the Python array API (previously numpy.array_api).,38.0,,33,15,https://pypi.org/project/array-api-strict,,2026-07-09 10:29:04,38.0,True,3,,,
16,34j/types-array-api,types-array-api,typing,types-array-api,,https://github.com/34j/types-array-api,https://github.com/34j/types-array-api,2025-06-07 04:11:19,2026-07-16 09:43:12,2026-07-16 09:43:10,370.0,89.0,1.0,,358.0,2,3.0,8,2026-02-28 02:38:21,1.3.0,64.0,4.0,11.0,Autogenerated types for array-api-compat and array API - IDE friendly. `pip install types-array-api` and ready to go!.,18.0,,3,15,https://pypi.org/project/types-array-api,Apache-2.0,2026-02-28 02:38:21,18.0,True,1,,,
17,mdhaber/marray,marray,utility,marray,,https://github.com/mdhaber/marray,https://github.com/mdhaber/marray,2024-06-04 22:28:58,2026-07-06 07:34:55,2026-07-06 07:34:48,272.0,8.0,3.0,9.0,112.0,21,39.0,33,2025-09-18 03:38:47,0.0.12,,,12.0,Masked versions of array API compatible arrays.,3.0,3.0,4,14,https://pypi.org/project/marray,MIT,2025-09-18 03:38:47,,True,3,,,
18,data-apis/array-api-tests,array-api-tests,core,,,https://github.com/data-apis/array-api-tests,https://github.com/data-apis/array-api-tests,2020-08-28 21:19:58,2026-04-03 17:28:25,2026-04-03 17:28:25,1707.0,,47.0,17.0,279.0,56,114.0,73,2022-09-30 11:58:09,2022.09.30,,,8.0,Test suite for Python array API standard compliance.,,,19,13,,MIT,,,True,3,,,
19,34j/numpy-flint-arb,numpy-flint-arb,backend,numpy-flint-arb,"['verified', 'multiprec']",https://github.com/34j/numpy-flint-arb,https://github.com/34j/numpy-flint-arb,2025-12-11 06:24:04,2026-07-16 09:06:03,2026-07-16 09:05:30,220.0,84.0,,,207.0,1,1.0,1,2026-06-26 07:00:27,1.5.3,40.0,5.0,11.0,Arbitrary precision floating / ball arithmetic (interval arithmetic) dtype in NumPy / array API.,,,3,11,https://pypi.org/project/numpy-flint-arb,MIT,2026-06-26 07:00:27,,True,3,,,
20,34j/array-api-negative-index,array-api-negative-index,utility,array-api-negative-index,,https://github.com/34j/array-api-negative-index,https://github.com/34j/array-api-negative-index,2025-08-21 05:13:32,2026-07-16 10:56:14,2026-07-16 10:55:27,311.0,87.0,,,310.0,1,,1,2025-08-23 09:33:48,1.0.0,8.0,0.0,3.0,"Utils for indexing arrays with {-n, -(n-1), ..., -1, 0, 1, ..., n-1, n} using array API.",,,3,10,https://pypi.org/project/array-api-negative-index,MIT,2025-08-23 09:33:48,,True,3,,,
21,quantity-dev/quantity-array,quantity-array,utility,quantity-array,,https://github.com/quantity-dev/quantity-array,https://github.com/quantity-dev/quantity-array,2024-12-30 01:06:12,2026-07-06 00:23:25,2026-07-06 00:23:17,136.0,8.0,2.0,5.0,38.0,13,6.0,5,2025-01-19 13:47:39,0.0.1,,,1.0,Quantities with array API standard arrays.,,,5,8,https://pypi.org/project/quantity-array,MIT,2025-01-19 13:47:39,,True,3,-1.0,,
22,mdhaber/mparray,mparray,backend,mparray,"['verified', 'multiprec']",https://github.com/mdhaber/mparray,https://github.com/mdhaber/mparray,2023-07-15 14:58:18,2026-03-17 19:19:17,2026-03-17 19:19:17,52.0,,3.0,4.0,3.0,12,1.0,6,,,,,,Array API compliant arrays of arbitrary precision types.,,,3,6,https://pypi.org/project/mparray,MIT,,,True,3,,,
