,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,trending,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-05-14 19:50:44,2026-05-14 19:48:50,104352.0,4776.0,27767.0,1772.0,124519.0,18423,42518.0,99909,2026-05-13 17:38:06,2.12.0,270324.0,85416638.0,66.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,895979.0,856132.0,6526,56,https://pypi.org/project/torch,BSD-3-Clause,2026-05-13 14:55:53,39847.0,85414308.0,True,1,,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-05-14 18:52:27,2026-05-14 18:52:18,41207.0,473.0,12306.0,598.0,17445.0,2346,11809.0,32033,2026-03-29 13:38:41,2.4.4,1394273.0,937306049.0,189.0,The fundamental package for scientific computing with Python.,3808273.0,3630720.0,2078,51,https://pypi.org/project/numpy,,2026-03-29 13:18:15,177553.0,937288400.0,True,2,,
2,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-05-14 19:49:15,2026-05-14 19:21:12,35767.0,2317.0,3572.0,331.0,27210.0,2338,5355.0,35611,2026-04-16 13:09:00,jax-v0.10.0,,,191.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",53435.0,49316.0,1065,38,https://pypi.org/project/jax,Apache-2.0,2026-04-16 12:32:11,4119.0,,True,2,,
3,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-05-14 15:18:10,2026-05-14 15:18:10,9777.0,56.0,1868.0,203.0,6565.0,1247,4501.0,13831,2026-03-19 09:37:40,2026.3.0,,,233.0,Parallel computing with task scheduling.,82891.0,79371.0,650,38,https://pypi.org/project/dask,BSD-3-Clause,2026-03-18 07:10:12,3520.0,,True,2,1.0,
4,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-05-13 06:20:59,2026-05-12 20:17:11,6426.0,69.0,1252.0,96.0,5305.0,1343,3945.0,4142,2026-04-13 19:44:11,2026.04.0,,,105.0,N-D labeled arrays and datasets in Python.,49921.0,44226.0,608,33,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,,True,1,-7.0,
5,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-02-07 22:20:29,2026-02-07 22:20:28,19095.0,,5638.0,63.0,11830.0,977,15966.0,14217,2025-06-16 00:11:47,1.0.0.5,,36559.0,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1486,32,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,36559.0,True,3,5.0,unifyai/ivy
6,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-05-11 13:40:42,2026-05-11 13:40:38,1182.0,66.0,41.0,16.0,286.0,38,109.0,121,2026-02-26 12:02:45,1.14,275.0,2172940.0,22.0,Compatibility layer for common array libraries to support the Array API.,924.0,752.0,28,29,https://pypi.org/project/array-api-compat,MIT,2026-02-26 12:02:41,172.0,2172933.0,True,1,,
7,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-05-13 13:23:12,2026-05-12 07:16:36,8156.0,140.0,65.0,7.0,1406.0,82,798.0,238,2026-03-26 15:13:38,1.8.0,93.0,1.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,81.0,81.0,68,24,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,,True,1,-4.0,
8,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,https://github.com/data-apis/array-api-extra,2024-09-20 07:39:49,2026-05-14 11:55:33,2026-05-14 11:55:32,759.0,120.0,21.0,5.0,627.0,45,62.0,29,2026-02-27 17:14:45,0.10.1,,19313.0,22.0,Extra array functions built on top of the array API standard.,62.0,30.0,20,24,https://pypi.org/project/array-api-extra,MIT,2026-02-27 17:14:45,32.0,19313.0,True,2,1.0,
9,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-04-27 19:34:28,2026-04-22 07:34:20,754.0,9.0,134.0,15.0,595.0,73,265.0,658,2026-02-19 06:17:53,0.18.0,,,43.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2623.0,2312.0,63,23,https://pypi.org/project/sparse,BSD-3-Clause,2026-02-19 06:17:53,311.0,,True,3,,
