,github_id,name,category,pypi_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,license,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending
0,numpy/numpy,NumPy,backend,numpy,https://github.com/numpy/numpy,3889031.0,3682256.0,2117,https://github.com/numpy/numpy,2010-09-13 23:02:39.000,2026-08-09 13:44:51,38,12624.0,2324.0,32526,The fundamental package for scientific computing with Python.,https://pypi.org/project/numpy,,2026-08-09 13:44:51,2026-08-09 13:44:51.000,2.5.2,195.0,206775.0,1189006867.0,1189006867.0,True,1,,
1,pytorch/pytorch,PyTorch,backend,torch,https://github.com/pytorch/pytorch,917520.0,873343.0,6872,https://github.com/pytorch/pytorch,2016-08-13 05:26:41.000,2026-08-09 19:57:43,37,28788.0,17002.0,102301,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,https://pypi.org/project/torch,,2026-07-08 16:02:16,2026-07-08 16:02:16.000,2.13.0,60.0,44177.0,93339948.0,93339948.0,True,2,['noncpu'],
2,dask/dask,Dask,backend,dask,https://github.com/dask/dask,84050.0,80278.0,656,https://github.com/dask/dask,2015-01-04 18:50:00.000,2026-08-03 22:03:26,35,1923.0,1293.0,13882,Parallel computing with task scheduling.,https://pypi.org/project/dask,BSD-3-Clause,2026-07-14 01:27:48,2026-07-14 01:27:48.000,2026.1.3,238.0,3772.0,29820745.0,29820745.0,True,2,['noncpu'],
3,jax-ml/jax,JAX,backend,jax,https://github.com/jax-ml/jax,56075.0,50882.0,1112,https://github.com/jax-ml/jax,2018-10-25 21:25:02.000,2026-08-17 22:15:28,34,3737.0,2582.0,36172,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",https://pypi.org/project/jax,Apache-2.0,2026-08-17 20:29:00,2026-08-17 20:29:00.000,0.11.1,195.0,5193.0,21125985.0,21125985.0,True,2,['noncpu'],7.0
4,pydata/xarray,xarray,utility,xarray,https://github.com/pydata/xarray,51750.0,45437.0,633,https://github.com/pydata/xarray,2013-09-30 17:21:10.000,2026-07-09 17:38:24,32,1271.0,1381.0,4154,N-D labeled arrays and datasets in Python.,https://pypi.org/project/xarray,Apache-2.0,2026-07-09 17:38:24,2026-04-13 19:45:34.000,2026.4.0,106.0,6313.0,19191344.0,19191344.0,True,1,,
5,cupy/cupy,CuPy,backend,cupy,https://github.com/cupy/cupy,8548.0,7902.0,464,https://github.com/cupy/cupy,2016-11-01 09:54:45.000,2026-08-20 02:42:12,29,1128.0,708.0,12258,NumPy & SciPy for GPU.,https://pypi.org/project/cupy,MIT,2026-08-20 02:42:12,2026-08-20 02:42:12.000,14.2.0,152.0,646.0,30140.0,30140.0,True,3,['noncpu'],
6,ivy-llc/ivy,Ivy,backend,ivy,https://github.com/ivy-llc/ivy,16.0,,1486,https://github.com/ivy-llc/ivy,2021-01-19 08:37:25.000,2025-06-16 00:22:14,24,5638.0,977.0,14217,Convert Machine Learning Code Between Frameworks.,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,2023-06-29 19:33:01.167,0.0.0,138.0,16.0,21234.0,21234.0,False,3,['noncpu'],
7,data-apis/array-api-compat,array-api-compat,core,array-api-compat,https://github.com/data-apis/array-api-compat,1090.0,886.0,30,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09.000,2026-06-07 20:53:23,24,44.0,36.0,122,Compatibility layer for common array libraries to support the Array API.,https://pypi.org/project/array-api-compat,MIT,2026-06-07 20:53:23,2026-06-07 20:53:23.000,1.15.0,23.0,204.0,2182126.0,2182126.0,True,1,,6.0
8,data-apis/array-api-extra,array-api-extra,core,array-api-extra,https://github.com/data-apis/array-api-extra,89.0,44.0,29,https://github.com/data-apis/array-api-extra,2024-09-24 20:29:02.639,2026-08-12 11:29:23,21,28.0,52.0,33,Extra array functions built on top of the array API standard.,https://pypi.org/project/array-api-extra,MIT,2026-08-12 11:29:23,2026-08-12 11:29:23.000,0.11.1,25.0,45.0,90564.0,90564.0,True,2,,5.0
9,pydata/sparse,sparse,backend,sparse,https://github.com/pydata/sparse,2730.0,2383.0,65,https://github.com/pydata/sparse,2017-04-16 16:12:10.000,2026-08-14 09:37:25,19,138.0,74.0,666,Sparse multi-dimensional arrays for the PyData ecosystem.,https://pypi.org/project/sparse,BSD-3-Clause,2026-08-14 09:37:25,2026-08-14 09:37:25.000,0.19.2,46.0,347.0,,,True,3,,-6.0
10,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,https://github.com/wilsonrljr/sysidentpy,34.0,29.0,22,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59.000,2026-06-13 02:30:29,18,101.0,12.0,511,A Python Package For System Identification Using NARMAX Models.,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-06-13 02:30:29,2026-06-13 02:30:29.000,0.9.0,30.0,5.0,929.0,929.0,True,1,,
11,helmholtz-analytics/heat,heat,ml,heat,https://github.com/helmholtz-analytics/heat,82.0,82.0,70,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27.000,2026-03-26 15:13:38,18,61.0,82.0,231,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,2026-03-26 15:13:14.000,1.8.0,28.0,,914.0,914.0,True,1,,
12,Quantco/ndonnx,ndonnx,backend,ndonnx,https://github.com/Quantco/ndonnx,39.0,31.0,27,https://github.com/Quantco/ndonnx,2024-08-09 10:41:30.852,2026-08-07 15:05:09,17,3.0,4.0,69,ONNX-backed array library that is compliant with the Array API standard.,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-08-07 15:05:09,2026-08-07 15:05:09.000,0.21.0,28.0,8.0,3748.0,3748.0,True,3,['noncpu'],
13,mdhaber/marray,marray,utility,marray,https://github.com/mdhaber/marray,4.0,4.0,4,https://github.com/mdhaber/marray,2024-06-05 00:05:30.630,2026-08-07 16:54:34,15,3.0,22.0,34,Masked versions of array API compatible arrays.,https://pypi.org/project/marray,MIT,2025-09-18 03:38:47,2025-09-18 03:38:47.000,0.0.12,12.0,,9567.0,9567.0,True,2,,4.0
14,scikit-hep/ragged,ragged,utility,ragged,https://github.com/scikit-hep/ragged,68.0,64.0,6,https://github.com/scikit-hep/ragged,2023-12-26 10:53:35.000,2026-06-03 06:37:02,14,8.0,,48,Manipulating ragged arrays in an Array API compliant way.,https://pypi.org/project/ragged,BSD-3-Clause,2026-06-03 06:31:24,2026-06-03 06:31:24.000,0.3.0,4.0,4.0,,,True,3,,
15,data-apis/array-api-strict,array-api-strict,core,array-api-strict,https://github.com/data-apis/array-api-strict,38.0,,33,https://github.com/data-apis/array-api-strict,2024-04-02 20:30:20.359,2026-07-27 10:46:26,14,13.0,13.0,33,Strict implementation of the Python array API (previously numpy.array_api).,https://pypi.org/project/array-api-strict,,2026-07-27 10:46:26,2026-07-27 10:46:26.000,2.6.1,17.0,38.0,,,True,3,,
16,34j/types-array-api,types-array-api,typing,types-array-api,https://github.com/34j/types-array-api,18.0,,3,https://github.com/34j/types-array-api,2024-12-01 06:13:11.147,2026-08-08 00:37:10,13,1.0,3.0,7,Autogenerated types for array-api-compat and array API - IDE friendly. `pip install types-array-api` and ready to go!.,https://pypi.org/project/types-array-api,Apache-2.0,2026-02-28 02:38:21,2026-02-28 02:38:21.000,1.3.0,8.0,18.0,7496.0,7496.0,True,1,,
17,data-apis/array-api,Array API standard,definition,,https://github.com/data-apis/array-api,4.0,4.0,38,https://github.com/data-apis/array-api,2020-05-10 15:44:24.000,2025-12-08 07:01:18,11,54.0,93.0,262,"RFC document, tooling and other content related to the array API standard.",,MIT,,,,,,,,True,1,,
18,data-apis/array-api-tests,array-api-tests,core,,https://github.com/data-apis/array-api-tests,,,23,https://github.com/data-apis/array-api-tests,2020-08-28 21:19:58.000,2025-12-02 16:53:47,9,47.0,56.0,69,Test suite for Python array API standard compliance.,,MIT,,,,,,,,True,3,,
19,34j/numpy-flint-arb,numpy-flint-arb,backend,numpy-flint-arb,https://github.com/34j/numpy-flint-arb,,,3,https://github.com/34j/numpy-flint-arb,2025-12-11 06:27:06.773,2026-08-08 00:48:55,9,,3.0,1,Arbitrary precision floating / ball arithmetic (interval arithmetic) dtype in NumPy / array API.,https://pypi.org/project/numpy-flint-arb,MIT,2026-06-26 07:00:27,2026-06-26 07:00:27.000,1.5.3,9.0,,45.0,45.0,True,3,"['verified', 'multiprec']",
20,34j/array-api-negative-index,array-api-negative-index,utility,array-api-negative-index,https://github.com/34j/array-api-negative-index,,,3,https://github.com/34j/array-api-negative-index,2025-08-21 19:31:55.646,2026-08-08 02:07:44,9,,3.0,1,"Utils for indexing arrays with {-n, -(n-1), ..., -1, 0, 1, ..., n-1, n} using array API.",https://pypi.org/project/array-api-negative-index,MIT,2025-08-23 09:33:48,2025-08-23 09:33:48.000,1.0.0,3.0,,879.0,879.0,True,3,,-1.0
21,mdhaber/mparray,mparray,backend,mparray,https://github.com/mdhaber/mparray,,,5,https://github.com/mdhaber/mparray,2025-01-05 20:30:51.508,2026-03-17 19:19:17,6,3.0,12.0,6,Array API compliant arrays of arbitrary precision types.,https://pypi.org/project/mparray,MIT,,,,,,,,True,3,"['verified', 'multiprec']",
22,quantity-dev/quantity-array,quantity-array,utility,quantity-array,https://github.com/quantity-dev/quantity-array,,,5,https://github.com/quantity-dev/quantity-array,2025-01-19 13:48:01.199,2025-01-19 13:47:39,6,2.0,13.0,3,Quantities with array API standard arrays.,https://pypi.org/project/quantity-array,MIT,2025-01-19 13:47:39,2025-01-19 13:47:39.000,0.0.1,1.0,,14.0,14.0,False,3,,
