,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,trending,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-05-28 20:27:44,2026-05-28 20:25:37,105134.0,4993.0,27842.0,1767.0,126000.0,18502,43390.0,100235,2026-05-13 17:38:06,2.12.0,283868.0,86604617.0,66.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,898895.0,858528.0,6577,56,https://pypi.org/project/torch,BSD-3-Clause,2026-05-13 14:55:53,40367.0,86602170.0,True,1,,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-05-28 20:20:14,2026-05-28 20:20:05,41242.0,453.0,12372.0,600.0,17522.0,2375,11819.0,32106,2026-05-19 01:01:30,2.4.6,1206117.0,15663.0,191.0,The fundamental package for scientific computing with Python.,3826452.0,3638046.0,2082,46,https://pypi.org/project/numpy,,2026-05-18 23:33:13,188406.0,,True,2,-5.0,
2,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-05-27 08:00:28,2026-05-20 17:54:13,6428.0,55.0,1257.0,96.0,5321.0,1343,3946.0,4151,2026-04-13 19:44:11,2026.04.0,,20052160.0,105.0,N-D labeled arrays and datasets in Python.,50068.0,44373.0,609,40,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,20052160.0,True,1,,
3,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-05-28 20:23:51,2026-05-28 20:07:36,36043.0,2282.0,3581.0,330.0,27516.0,2384,5384.0,35709,2026-05-20 15:07:07,jax-v0.10.1,,,192.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",53899.0,49498.0,1071,38,https://pypi.org/project/jax,Apache-2.0,2026-05-20 14:51:30,4401.0,,True,2,-7.0,
4,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-05-27 11:05:31,2026-05-27 11:05:30,9794.0,69.0,1871.0,203.0,6585.0,1242,4507.0,13845,2026-03-19 09:37:40,2026.3.0,,,233.0,Parallel computing with task scheduling.,83014.0,79494.0,651,38,https://pypi.org/project/dask,BSD-3-Clause,2026-03-18 07:10:12,3520.0,,True,2,,
5,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-05-27 08:28:41,2026-02-07 22:20:28,19095.0,,5638.0,63.0,11831.0,977,15966.0,14217,2025-06-16 00:11:47,1.0.0.5,,,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1486,29,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,,True,3,,unifyai/ivy
6,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-05-26 14:55:45,2026-05-26 14:55:41,755.0,8.0,134.0,15.0,595.0,73,265.0,660,2026-02-19 06:17:53,0.18.0,,1350072.0,43.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2625.0,2314.0,63,29,https://pypi.org/project/sparse,BSD-3-Clause,2026-02-19 06:17:53,311.0,1350072.0,True,3,,
7,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-05-28 12:16:10,2026-05-27 09:08:37,8177.0,137.0,65.0,7.0,1432.0,82,804.0,240,2026-03-26 15:13:38,1.8.0,93.0,1610.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,81.0,81.0,69,28,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,1609.0,True,1,4.0,
8,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-05-28 16:51:08,2026-05-28 16:51:08,1188.0,32.0,41.0,16.0,289.0,38,110.0,122,2026-02-26 12:02:45,1.14,279.0,1865374.0,22.0,Compatibility layer for common array libraries to support the Array API.,948.0,776.0,28,28,https://pypi.org/project/array-api-compat,MIT,2026-02-26 12:02:41,172.0,1865367.0,True,1,-1.0,
9,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,https://github.com/cupy/cupy,2016-11-01 09:54:45,2026-05-23 01:12:43,,,,1030.0,,,670,,10960,2026-05-23 01:12:43,14.1.0,,39517.0,150.0,NumPy & SciPy for GPU.,580.0,,378,26,https://pypi.org/project/cupy,MIT,2026-05-23 01:12:43,580.0,39517.0,True,3,4.0,
