,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,trending,updated_github_id
10,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-04-04 19:24:56,2026-04-04 19:23:08,1138.0,15.0,99.0,15.0,155.0,9,59.0,508,2026-03-28 12:28:42,0.8.0,,,29.0,A Python Package For System Identification Using NARMAX Models.,33.0,28.0,21,21,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-03-28 12:28:42,5.0,,True,3,,
11,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,https://github.com/Quantco/ndonnx,2024-06-10 11:52:01,2026-05-15 10:29:59,2026-05-15 10:03:54,174.0,16.0,3.0,8.0,180.0,4,30.0,67,2026-05-15 10:29:59,0.19.0,,3793.0,27.0,ONNX-backed array library that is compliant with the Array API standard.,34.0,30.0,25,21,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-05-15 10:29:59,4.0,3793.0,True,3,3.0,
12,data-apis/array-api-strict,array-api-strict,core,array-api-strict,,https://github.com/data-apis/array-api-strict,https://github.com/data-apis/array-api-strict,2024-01-22 19:39:03,2026-05-05 01:15:55,2026-05-05 01:15:51,662.0,24.0,13.0,10.0,154.0,11,42.0,31,2026-02-23 10:56:15,2.5,122.0,97947.0,15.0,Strict implementation of the Python array API (previously numpy.array_api).,32.0,,33,20,https://pypi.org/project/array-api-strict,,2026-02-23 10:56:10,32.0,97943.0,True,2,,
13,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,https://github.com/data-apis/array-api-extra,2024-09-20 07:39:49,2026-05-28 20:18:43,2026-05-28 20:18:41,785.0,111.0,21.0,5.0,651.0,43,66.0,29,2026-02-27 17:14:45,0.10.1,,,22.0,Extra array functions built on top of the array API standard.,63.0,31.0,20,20,https://pypi.org/project/array-api-extra,MIT,2026-02-27 17:14:45,32.0,,True,2,-4.0,
14,data-apis/array-api,Array API standard,definition,,,https://github.com/data-apis/array-api,https://github.com/data-apis/array-api,2020-05-10 15:44:24,2026-04-23 17:13:42,2026-04-23 17:10:58,816.0,8.0,54.0,31.0,579.0,93,318.0,267,,,,,,"RFC document, tooling and other content related to the array API standard.",4.0,4.0,38,17,,MIT,,,,True,1,,
15,scikit-hep/ragged,ragged,utility,ragged,,https://github.com/scikit-hep/ragged,https://github.com/scikit-hep/ragged,2023-12-26 10:53:35,2026-05-18 19:45:24,2026-03-30 15:01:40,59.0,13.0,8.0,2.0,82.0,18,11.0,48,2025-01-31 08:34:16,0.2.0,,355.0,4.0,Manipulating ragged arrays in an Array API compliant way.,56.0,56.0,5,16,https://pypi.org/project/ragged,BSD-3-Clause,2025-01-31 08:34:16,,355.0,True,2,2.0,
16,data-apis/array-api-tests,array-api-tests,core,,,https://github.com/data-apis/array-api-tests,https://github.com/data-apis/array-api-tests,2020-08-28 21:19:58,2026-04-03 17:28:25,2026-04-03 17:28:25,1707.0,20.0,47.0,16.0,275.0,56,113.0,73,2022-09-30 11:58:09,2022.09.30,,,8.0,Test suite for Python array API standard compliance.,,,19,15,,MIT,,,,True,3,,
17,mdhaber/marray,marray,utility,marray,,https://github.com/mdhaber/marray,https://github.com/mdhaber/marray,2024-06-04 22:28:58,2026-05-25 08:52:54,2026-05-25 08:52:50,268.0,22.0,3.0,9.0,110.0,21,39.0,33,2025-09-18 03:38:47,0.0.12,,,12.0,Masked versions of array API compatible arrays.,2.0,2.0,4,14,https://pypi.org/project/marray,MIT,2025-09-18 03:38:47,,,True,3,,
18,34j/types-array-api,types-array-api,typing,types-array-api,,https://github.com/34j/types-array-api,https://github.com/34j/types-array-api,2025-06-07 04:11:19,2026-05-28 18:04:03,2026-05-25 05:41:35,310.0,76.0,1.0,,299.0,2,3.0,7,2026-02-28 02:38:21,1.3.0,18.0,1.0,11.0,Autogenerated types for array-api-compat and array API - IDE friendly. `pip install types-array-api` and ready to go!.,18.0,,3,14,https://pypi.org/project/types-array-api,Apache-2.0,2026-02-28 02:38:21,18.0,,True,1,-5.0,
19,34j/array-api-negative-index,array-api-negative-index,utility,array-api-negative-index,,https://github.com/34j/array-api-negative-index,https://github.com/34j/array-api-negative-index,2025-08-21 05:13:32,2026-05-28 15:52:12,2026-05-25 05:51:22,252.0,72.0,,,252.0,1,,1,2025-08-23 09:33:48,1.0.0,,1280.0,3.0,"Utils for indexing arrays with {-n, -(n-1), ..., -1, 0, 1, ..., n-1, n} using array API.",,,3,14,https://pypi.org/project/array-api-negative-index,MIT,2025-08-23 09:33:48,,1280.0,True,3,3.0,
20,34j/numpy-flint-arb,numpy-flint-arb,backend,numpy-flint-arb,"['verified', 'multiprec']",https://github.com/34j/numpy-flint-arb,https://github.com/34j/numpy-flint-arb,2025-12-11 06:24:04,2026-05-25 17:03:15,2026-05-25 04:30:13,163.0,91.0,,,154.0,1,1.0,1,2026-03-26 08:43:23,1.5.0,26.0,5.0,8.0,Arbitrary precision floating / ball arithmetic (interval arithmetic) dtype in NumPy / array API.,,,3,10,https://pypi.org/project/numpy-flint-arb,MIT,2026-03-26 08:43:23,,,True,3,,
21,mdhaber/mparray,mparray,backend,mparray,"['verified', 'multiprec']",https://github.com/mdhaber/mparray,https://github.com/mdhaber/mparray,2023-07-15 14:58:18,2026-03-17 19:19:17,2026-03-17 19:19:17,52.0,19.0,3.0,4.0,3.0,12,1.0,6,,,,,,Array API compliant arrays of arbitrary precision types.,,,3,8,https://pypi.org/project/mparray,MIT,,,,True,3,,
22,quantity-dev/quantity-array,quantity-array,utility,quantity-array,,https://github.com/quantity-dev/quantity-array,https://github.com/quantity-dev/quantity-array,2024-12-30 01:06:12,2026-05-25 00:43:06,2026-05-25 00:43:00,130.0,8.0,2.0,5.0,35.0,13,6.0,5,2025-01-19 13:47:39,0.0.1,,,1.0,Quantities with array API standard arrays.,,,5,8,https://pypi.org/project/quantity-array,MIT,2025-01-19 13:47:39,,,True,3,,
