,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,trending,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-05-07 19:45:54,2026-05-07 19:44:59,103873.0,4621.0,27281.0,1770.0,123761.0,18091,42290.0,99729,2026-03-23 18:38:28,2.11.0,263474.0,84143890.0,65.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,891062.0,854527.0,6495,56,https://pypi.org/project/torch,BSD-3-Clause,2026-03-23 18:07:33,36535.0,84141619.0,True,1,,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-05-07 15:51:06,2026-05-07 15:51:06,41177.0,468.0,12306.0,599.0,17419.0,2346,11803.0,31984,2026-03-29 13:38:41,2.4.4,1386848.0,923143264.0,189.0,The fundamental package for scientific computing with Python.,3803534.0,3625981.0,2075,51,https://pypi.org/project/numpy,,2026-03-29 13:18:15,177553.0,923125709.0,True,2,,
2,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-05-06 06:19:19,2026-05-04 21:44:35,6424.0,82.0,1246.0,97.0,5296.0,1343,3943.0,4143,2026-04-13 19:44:11,2026.04.0,,20653736.0,105.0,N-D labeled arrays and datasets in Python.,49796.0,44101.0,608,40,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,20653736.0,True,1,,
3,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-05-07 19:45:54,2026-05-07 19:45:45,35621.0,2395.0,3529.0,329.0,27065.0,2236,5344.0,35569,2026-04-16 13:09:00,jax-v0.10.0,,,191.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",53296.0,49177.0,1058,38,https://pypi.org/project/jax,Apache-2.0,2026-04-16 12:32:11,4119.0,,True,2,,
4,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-05-07 19:43:27,2026-05-07 19:43:26,9761.0,41.0,1868.0,202.0,6550.0,1247,4499.0,13822,2026-03-19 09:37:40,2026.3.0,,,233.0,Parallel computing with task scheduling.,82788.0,79268.0,647,37,https://pypi.org/project/dask,BSD-3-Clause,2026-03-18 07:10:12,3520.0,,True,2,-8.0,
5,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-04-29 06:45:17,2026-04-29 06:45:16,1180.0,68.0,41.0,16.0,285.0,38,109.0,121,2026-02-26 12:02:45,1.14,274.0,2414656.0,22.0,Compatibility layer for common array libraries to support the Array API.,911.0,739.0,28,29,https://pypi.org/project/array-api-compat,MIT,2026-02-26 12:02:41,172.0,2414649.0,True,1,6.0,
6,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-05-07 13:47:00,2026-05-05 06:40:35,8152.0,140.0,65.0,7.0,1397.0,82,797.0,238,2026-03-26 15:13:38,1.8.0,93.0,1495.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,81.0,81.0,68,28,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,1494.0,True,1,,
7,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-02-07 22:20:29,2026-02-07 22:20:28,19095.0,2.0,5638.0,63.0,11830.0,977,15966.0,14217,2025-06-16 00:11:47,1.0.0.5,,,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1486,27,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,,True,3,-4.0,unifyai/ivy
8,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-04-27 19:34:28,2026-04-22 07:34:20,754.0,9.0,134.0,15.0,595.0,73,265.0,658,2026-02-19 06:17:53,0.18.0,,,43.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2613.0,2302.0,63,23,https://pypi.org/project/sparse,BSD-3-Clause,2026-02-19 06:17:53,311.0,,True,3,-7.0,
9,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-04-04 19:24:56,2026-04-04 19:23:08,1138.0,15.0,98.0,15.0,154.0,9,59.0,499,2026-03-28 12:28:42,0.8.0,,798.0,29.0,A Python Package For System Identification Using NARMAX Models.,33.0,28.0,21,23,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-03-28 12:28:42,5.0,798.0,True,3,,
