,github_id,name,category,pypi_id,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,license,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,913178.0,869001.0,6754,https://github.com/pytorch/pytorch,2016-08-13 05:26:41.000,2026-07-17 18:27:40,37,28429.0,18353.0,101731,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,https://pypi.org/project/torch,,2026-07-08 16:02:16,2026-07-08 16:02:16.000,2.13.0,60.0,44177.0,94120182.0,94120182.0,True,1,
1,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,83821.0,80049.0,655,https://github.com/dask/dask,2015-01-04 18:50:00.000,2026-07-20 22:02:49,35,1913.0,1271.0,13866,Parallel computing with task scheduling.,https://pypi.org/project/dask,BSD-3-Clause,2026-07-14 01:27:48,2026-07-14 01:27:48.000,2026.1.3,238.0,3772.0,28685084.0,28685084.0,True,2,
2,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,55398.0,50502.0,1097,https://github.com/jax-ml/jax,2018-10-25 21:25:02.000,2026-07-22 18:55:45,34,3687.0,2504.0,36032,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",https://pypi.org/project/jax,Apache-2.0,2026-07-16 18:58:25,2026-07-16 18:58:25.000,0.11.0,194.0,4896.0,18317293.0,18317293.0,True,2,
3,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,3866953.0,3668428.0,2113,https://github.com/numpy/numpy,2010-09-13 23:02:39.000,2026-07-13 13:30:24,32,12563.0,2398.0,32355,The fundamental package for scientific computing with Python.,https://pypi.org/project/numpy,,2026-07-04 17:06:12,2026-07-04 17:06:12.000,2.5.1,194.0,198525.0,,,True,2,
4,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,51405.0,45092.0,618,https://github.com/pydata/xarray,2013-09-30 17:21:10.000,2026-07-09 17:38:24,26,1271.0,1381.0,4154,N-D labeled arrays and datasets in Python.,https://pypi.org/project/xarray,Apache-2.0,2026-07-09 17:38:24,2026-04-13 19:45:34.000,2026.4.0,106.0,6313.0,,,True,1,-7.0
5,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/ivy-llc/ivy,16.0,,1485,https://github.com/ivy-llc/ivy,2021-01-19 08:37:25.000,2025-06-16 00:22:14,24,5638.0,977.0,14217,Convert Machine Learning Code Between Frameworks.,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,2023-06-29 19:33:01.167,0.0.0,138.0,16.0,24883.0,24883.0,False,3,
6,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,8343.0,7762.0,461,https://github.com/cupy/cupy,2016-11-01 09:54:45.000,2026-06-01 04:55:30,24,1035.0,678.0,10973,NumPy & SciPy for GPU.,https://pypi.org/project/cupy,MIT,2026-06-01 04:55:30,2026-06-01 04:55:30.000,14.1.1,151.0,581.0,,,True,3,2.0
7,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,2700.0,2364.0,64,https://github.com/pydata/sparse,2017-04-16 16:12:10.000,2026-07-02 07:32:54,19,138.0,74.0,664,Sparse multi-dimensional arrays for the PyData ecosystem.,https://pypi.org/project/sparse,BSD-3-Clause,2026-07-02 07:32:54,2026-07-02 07:32:54.000,0.19.0,44.0,336.0,,,True,3,
8,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,82.0,82.0,69,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27.000,2026-03-26 15:13:38,18,61.0,82.0,231,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,2026-03-26 15:13:14.000,1.8.0,28.0,,876.0,876.0,True,1,-9.0
9,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,1052.0,848.0,29,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09.000,2026-06-07 20:53:23,18,44.0,36.0,122,Compatibility layer for common array libraries to support the Array API.,https://pypi.org/project/array-api-compat,MIT,2026-06-07 20:53:23,2026-06-07 20:53:23.000,1.15.0,23.0,204.0,,,True,1,-10.0
