,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,trending,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-06-18 20:28:12,2026-06-18 20:25:43,106303.0,5049.0,28036.0,1853.0,127757.0,18344,43898.0,100862,2026-06-18 00:41:17,2.12.1,295074.0,85913537.0,67.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,904042.0,861890.0,6637,56,https://pypi.org/project/torch,BSD-3-Clause,2026-06-17 21:05:37,42152.0,85911015.0,True,1,,
1,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-06-18 20:25:57,2026-06-18 18:17:33,36497.0,2131.0,3641.0,330.0,28001.0,2415,5409.0,35846,2026-06-17 23:42:41,0.10.2,,19786959.0,193.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",54387.0,49767.0,1077,46,https://pypi.org/project/jax,Apache-2.0,2026-06-17 23:42:41,4620.0,19786959.0,True,2,8.0,
2,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-06-18 19:18:13,2026-06-18 19:18:05,41337.0,433.0,12403.0,603.0,17649.0,2383,11839.0,32215,2026-05-19 01:01:30,2.4.6,1228018.0,15743.0,192.0,The fundamental package for scientific computing with Python.,3839713.0,3648207.0,2094,46,https://pypi.org/project/numpy,,2026-06-02 12:56:22,191506.0,,True,2,-5.0,
3,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-06-18 13:57:50,2026-06-18 13:57:50,9823.0,88.0,1887.0,203.0,6618.0,1244,4517.0,13846,2026-06-11 17:49:26,2026.6.0,,24584413.0,234.0,Parallel computing with task scheduling.,83376.0,79674.0,654,46,https://pypi.org/project/dask,BSD-3-Clause,2026-06-11 17:48:41,3702.0,24584413.0,True,2,,
4,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-05-27 08:28:41,2026-02-07 22:20:28,19095.0,,5638.0,63.0,11831.0,977,15966.0,14217,2025-06-16 00:11:47,1.0.0.5,,23048.0,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1486,33,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,23048.0,True,3,,unifyai/ivy
5,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-06-18 15:53:17,2026-06-18 15:53:17,6441.0,56.0,1271.0,96.0,5340.0,1381,3953.0,4159,2026-04-13 19:44:11,2026.04.0,,,105.0,N-D labeled arrays and datasets in Python.,50318.0,44623.0,612,33,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,,True,1,-7.0,
6,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-06-18 09:40:51,2026-06-18 09:40:51,758.0,8.0,134.0,14.0,599.0,73,266.0,662,2026-02-19 06:17:53,0.18.0,,1248071.0,43.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2643.0,2332.0,63,29,https://pypi.org/project/sparse,BSD-3-Clause,2026-02-19 06:17:53,311.0,1248071.0,True,3,,
7,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-06-15 09:37:39,2026-06-15 09:37:36,1198.0,35.0,44.0,17.0,295.0,36,111.0,124,2026-06-07 20:53:30,1.15,281.0,2056899.0,23.0,Compatibility layer for common array libraries to support the Array API.,1000.0,796.0,28,28,https://pypi.org/project/array-api-compat,MIT,2026-06-07 20:53:23,204.0,2056892.0,True,1,,
8,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,https://github.com/cupy/cupy,2016-11-01 09:54:45,2026-06-01 04:55:30,,,,1035.0,,,678,,10973,2026-06-01 04:55:30,14.1.1,,39602.0,151.0,NumPy & SciPy for GPU.,581.0,,380,26,https://pypi.org/project/cupy,MIT,2026-06-01 04:55:30,581.0,39602.0,True,3,,
9,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-06-18 14:42:25,2026-06-16 11:12:46,8199.0,90.0,65.0,7.0,1462.0,82,807.0,241,2026-03-26 15:13:38,1.8.0,95.0,1.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,81.0,81.0,69,24,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,,True,1,-4.0,
10,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,https://github.com/data-apis/array-api-extra,2024-09-20 07:39:49,2026-06-18 17:47:14,2026-06-18 17:47:13,825.0,130.0,21.0,5.0,692.0,52,69.0,30,2026-06-10 09:56:03,0.11.0,,25093.0,25.0,Extra array functions built on top of the array API standard.,66.0,34.0,20,24,https://pypi.org/project/array-api-extra,MIT,2026-06-10 09:56:03,32.0,25093.0,True,2,,
11,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-06-13 23:13:59,2026-06-13 23:10:45,1153.0,30.0,101.0,15.0,162.0,12,60.0,511,2026-06-13 02:30:29,0.9.0,,,30.0,A Python Package For System Identification Using NARMAX Models.,33.0,28.0,22,21,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-06-13 02:30:29,5.0,,True,3,,
12,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,https://github.com/Quantco/ndonnx,2024-06-10 11:52:01,2026-06-18 14:03:21,2026-06-16 16:41:40,178.0,15.0,3.0,8.0,186.0,6,30.0,67,2026-06-16 17:03:48,0.20.0,,4287.0,28.0,ONNX-backed array library that is compliant with the Array API standard.,38.0,30.0,26,21,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-06-16 17:03:48,8.0,4287.0,True,3,,
13,data-apis/array-api-strict,array-api-strict,core,array-api-strict,,https://github.com/data-apis/array-api-strict,https://github.com/data-apis/array-api-strict,2024-01-22 19:39:03,2026-06-15 21:44:06,2026-06-15 21:44:03,666.0,24.0,13.0,11.0,157.0,11,42.0,31,2026-02-23 10:56:15,2.5,122.0,139203.0,15.0,Strict implementation of the Python array API (previously numpy.array_api).,32.0,,33,20,https://pypi.org/project/array-api-strict,,2026-02-23 10:56:10,32.0,139199.0,True,3,,
14,scikit-hep/ragged,ragged,utility,ragged,,https://github.com/scikit-hep/ragged,https://github.com/scikit-hep/ragged,2023-12-26 10:53:35,2026-06-12 17:26:24,2026-06-03 14:20:55,81.0,35.0,9.0,2.0,110.0,8,29.0,48,2026-06-03 06:31:24,0.3.0,,1959.0,5.0,Manipulating ragged arrays in an Array API compliant way.,62.0,58.0,5,19,https://pypi.org/project/ragged,BSD-3-Clause,2026-06-03 06:31:24,4.0,1959.0,True,2,1.0,
