,github_id,name,category,pypi_id,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending
0,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,84368.0,80441.0,656,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2026-08-24 19:21:23,35,1947.0,1329.0,13913,Parallel computing with task scheduling.,https://pypi.org/project/dask,2026-08-24 19:21:23,2026-08-24 19:21:23.000,2026.8.0,239.0,3927.0,25223072.0,25223072.0,True,1,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,3905369.0,3692530.0,2134,https://github.com/numpy/numpy,,2010-09-13 23:02:39.000,2026-09-06 16:24:29,32,12735.0,2334.0,32683,The fundamental package for scientific computing with Python.,https://pypi.org/project/numpy,2026-09-06 16:24:29,2026-09-06 16:24:29.000,2.5.3,196.0,212839.0,,,True,2,
2,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,924026.0,876437.0,6965,https://github.com/pytorch/pytorch,,2016-08-13 05:26:41.000,2026-09-10 09:01:44,29,29176.0,17640.0,102897,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,https://pypi.org/project/torch,2026-09-02 13:42:48,2026-09-02 13:42:48.000,2.14.0,61.0,47589.0,,,True,2,
3,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,56317.0,51124.0,1124,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2026-09-07 11:50:22,27,3761.0,2523.0,36264,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",https://pypi.org/project/jax,2026-08-17 20:29:00,2026-08-17 20:29:00.000,0.11.1,195.0,5193.0,,,True,2,
4,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,52023.0,45710.0,636,https://github.com/pydata/xarray,Apache-2.0,2013-09-30 17:21:10.000,2026-07-09 17:38:24,26,1271.0,1381.0,4154,N-D labeled arrays and datasets in Python.,https://pypi.org/project/xarray,2026-07-09 17:38:24,2026-04-13 19:45:34.000,2026.4.0,106.0,6313.0,,,True,1,
5,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,8640.0,7994.0,471,https://github.com/cupy/cupy,MIT,2016-11-01 09:54:45.000,2026-08-20 02:42:12,25,1128.0,708.0,12258,NumPy & SciPy for GPU.,https://pypi.org/project/cupy,2026-08-20 02:42:12,2026-08-20 02:42:12.000,14.2.0,152.0,646.0,,,True,3,
6,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,1123.0,919.0,32,https://github.com/data-apis/array-api-compat,MIT,2022-09-26 19:31:09.000,2026-06-07 20:53:23,23,44.0,36.0,122,Compatibility layer for common array libraries to support the Array API.,https://pypi.org/project/array-api-compat,2026-06-07 20:53:23,2026-06-07 20:53:23.000,1.15.0,23.0,204.0,1821113.0,1821113.0,True,1,6.0
7,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/ivy-llc/ivy,16.0,,1486,https://github.com/ivy-llc/ivy,Apache-2.0,2021-01-19 08:37:25.000,2025-06-16 00:22:14,20,5638.0,977.0,14217,Convert Machine Learning Code Between Frameworks.,https://pypi.org/project/ivy,2025-06-16 00:12:14,2023-06-29 19:33:01.167,0.0.0,138.0,16.0,,,False,3,
8,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,2749.0,2402.0,66,https://github.com/pydata/sparse,BSD-3-Clause,2017-04-16 16:12:10.000,2026-08-14 09:37:25,19,138.0,74.0,666,Sparse multi-dimensional arrays for the PyData ecosystem.,https://pypi.org/project/sparse,2026-08-14 09:37:25,2026-08-14 09:37:25.000,0.19.2,46.0,347.0,,,True,3,-6.0
9,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,82.0,82.0,73,https://github.com/helmholtz-analytics/heat,MIT,2018-05-17 12:16:27.000,2026-03-26 15:13:38,17,61.0,82.0,231,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,https://pypi.org/project/heat,2026-03-26 15:13:14,2026-03-26 15:13:14.000,1.8.0,28.0,,504.0,504.0,True,1,2.0
