,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,show,projectrank_placing,trending,pypi_monthly_downloads,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-07-09 19:47:32,2026-07-09 19:39:33,107187.0,4858.0,28300.0,1812.0,129120.0,18218,44268.0,101638,2026-07-08 17:39:58,2.13.0,302995.0,2567.0,68.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,908542.0,865078.0,6707,49,https://pypi.org/project/torch,,2026-07-08 16:02:16,43464.0,True,1,,,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-07-09 19:41:45,2026-07-09 19:41:45,41508.0,439.0,12530.0,603.0,17864.0,2404,11883.0,32345,2026-07-04 17:30:20,2.5.1,1245232.0,15964.0,194.0,The fundamental package for scientific computing with Python.,3856693.0,3658168.0,2103,46,https://pypi.org/project/numpy,,2026-07-04 17:06:12,198525.0,True,2,-5.0,,
2,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-07-09 18:04:57,2026-07-09 18:04:55,6462.0,50.0,1271.0,97.0,5382.0,1381,3961.0,4171,2026-07-09 17:36:39,2026.07.0,,19046513.0,105.0,N-D labeled arrays and datasets in Python.,50571.0,44876.0,617,40,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,True,1,,19046513.0,
3,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-07-09 19:35:38,2026-07-09 18:35:13,36867.0,1916.0,3676.0,330.0,28407.0,2488,5431.0,35995,2026-06-17 23:42:41,0.10.2,,,193.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",54647.0,50027.0,1090,39,https://pypi.org/project/jax,Apache-2.0,2026-06-17 23:42:41,4620.0,True,2,,,
4,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-07-09 15:44:54,2026-07-09 15:44:54,9838.0,99.0,1896.0,204.0,6647.0,1254,4517.0,13860,2026-07-06 16:58:48,2026.7.0,,,235.0,Parallel computing with task scheduling.,83647.0,79883.0,654,38,https://pypi.org/project/dask,BSD-3-Clause,2026-07-06 16:58:34,3764.0,True,2,,,
5,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-05-27 08:28:41,2026-02-07 22:20:28,19095.0,,5638.0,63.0,11825.0,977,15961.0,14217,2025-06-16 00:11:47,1.0.0.5,,16529.0,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1485,33,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,True,3,4.0,16529.0,unifyai/ivy
6,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-07-09 18:00:11,2026-07-07 11:05:07,8208.0,80.0,66.0,7.0,1472.0,82,807.0,243,2026-03-26 15:13:38,1.8.0,95.0,812.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,82.0,82.0,69,27,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,True,1,3.0,811.0,
7,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-07-02 07:32:54,2026-07-01 14:00:56,761.0,10.0,138.0,14.0,601.0,74,268.0,665,2026-07-02 07:32:54,0.19.0,4.0,0.0,44.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2685.0,2349.0,64,23,https://pypi.org/project/sparse,BSD-3-Clause,2026-07-02 07:32:54,336.0,True,3,,,
8,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,https://github.com/cupy/cupy,2016-11-01 09:54:45,2026-06-01 04:55:30,,,,1035.0,,,678,,10973,2026-06-01 04:55:30,14.1.1,,,151.0,NumPy & SciPy for GPU.,581.0,,380,22,https://pypi.org/project/cupy,MIT,2026-06-01 04:55:30,581.0,True,3,-4.0,,
9,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-07-07 12:42:42,2026-07-07 12:42:42,1203.0,29.0,44.0,17.0,301.0,36,112.0,127,2026-06-07 20:53:30,1.15,291.0,7.0,23.0,Compatibility layer for common array libraries to support the Array API.,1034.0,830.0,29,22,https://pypi.org/project/array-api-compat,MIT,2026-06-07 20:53:23,204.0,True,1,-6.0,,
10,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-06-13 23:13:59,2026-06-13 23:10:45,1153.0,15.0,101.0,15.0,162.0,12,60.0,514,2026-06-13 02:30:29,0.9.0,,,30.0,A Python Package For System Identification Using NARMAX Models.,33.0,28.0,22,21,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-06-13 02:30:29,5.0,True,3,,,
11,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,https://github.com/Quantco/ndonnx,2024-06-10 11:52:01,2026-07-07 19:56:02,2026-07-01 14:00:17,180.0,12.0,3.0,8.0,188.0,6,30.0,68,2026-06-16 17:03:48,0.20.0,,4780.0,28.0,ONNX-backed array library that is compliant with the Array API standard.,38.0,30.0,26,21,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-06-16 17:03:48,8.0,True,3,3.0,4780.0,
12,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,https://github.com/data-apis/array-api-extra,2024-09-20 07:39:49,2026-07-09 18:58:55,2026-07-09 18:58:53,854.0,144.0,21.0,5.0,720.0,52,73.0,31,2026-06-10 09:56:03,0.11.0,,,25.0,Extra array functions built on top of the array API standard.,73.0,41.0,22,21,https://pypi.org/project/array-api-extra,MIT,2026-06-10 09:56:03,32.0,True,2,,,
13,data-apis/array-api,Array API standard,definition,,,https://github.com/data-apis/array-api,https://github.com/data-apis/array-api,2020-05-10 15:44:24,2026-07-08 23:37:32,2026-07-08 23:34:58,817.0,5.0,54.0,32.0,579.0,93,318.0,271,,,,,,"RFC document, tooling and other content related to the array API standard.",4.0,4.0,38,17,,MIT,,,True,1,1.0,,
14,scikit-hep/ragged,ragged,utility,ragged,,https://github.com/scikit-hep/ragged,https://github.com/scikit-hep/ragged,2023-12-26 10:53:35,2026-06-29 20:09:24,2026-06-29 20:09:21,82.0,23.0,8.0,2.0,111.0,8,29.0,48,2026-06-03 06:31:24,0.3.0,,,5.0,Manipulating ragged arrays in an Array API compliant way.,66.0,62.0,5,16,https://pypi.org/project/ragged,BSD-3-Clause,2026-06-03 06:31:24,4.0,True,2,,,
15,data-apis/array-api-strict,array-api-strict,core,array-api-strict,,https://github.com/data-apis/array-api-strict,https://github.com/data-apis/array-api-strict,2024-01-22 19:39:03,2026-07-09 10:29:04,2026-07-09 08:24:26,689.0,35.0,13.0,11.0,163.0,10,45.0,32,2026-07-09 10:29:09,2.6,123.0,4.0,16.0,Strict implementation of the Python array API (previously numpy.array_api).,38.0,,33,15,https://pypi.org/project/array-api-strict,,2026-07-09 10:29:04,38.0,True,3,-5.0,,
16,34j/types-array-api,types-array-api,typing,types-array-api,,https://github.com/34j/types-array-api,https://github.com/34j/types-array-api,2025-06-07 04:11:19,2026-07-09 06:49:43,2026-07-09 06:49:40,362.0,88.0,1.0,,350.0,2,3.0,7,2026-02-28 02:38:21,1.3.0,64.0,4.0,11.0,Autogenerated types for array-api-compat and array API - IDE friendly. `pip install types-array-api` and ready to go!.,18.0,,3,15,https://pypi.org/project/types-array-api,Apache-2.0,2026-02-28 02:38:21,18.0,True,1,,,
